region,reef_name,flat_ha,slope_ha,Area_HA,n_flat,n_slope,flat_scr,slope_scr,UNIQUE_ID
Townsville-Whitsunday,Minstrel Rocks (No 4) (20-821d),0.0,0.0,0.0,0,0,0.0,0.0,20821104106
Townsville-Whitsunday,U/N Rock (20-825),0.0,0.0,0.0,0,0,0.0,0.0,20825100106
Townsville-Whitsunday,U/N Reef (20-826),0.0,0.0,1.15307772,0,0,0.0,0.0,20826100104
Townsville-Whitsunday,U/N Rock (20-826),0.0,0.0,0.0,0,0,0.0,0.0,20826100106
Townsville-Whitsunday,U/N Reef (20-827),0.0,0.0,1.20863235,0,0,0.0,0.0,20827100104
Townsville-Whitsunday,U/N Rock (20-827),0.0,0.0,0.0,0,0,0.0,0.0,20827100106
Townsville-Whitsunday,U/N Rock (20-828a),0.0,0.0,0.0,0,0,0.0,0.0,20828101106
Townsville-Whitsunday,U/N Rock (20-829),0.0,0.0,0.0,0,0,0.0,0.0,20829100106
Townsville-Whitsunday,U/N Reef (20-830),0.0,0.0,1.53614819,0,0,0.0,0.0,20830100104
Townsville-Whitsunday,U/N Rock (20-830),0.0,0.0,0.0,0,0,0.0,0.0,20830100106
Townsville-Whitsunday,U/N Reef (20-300),0.0,0.0,66.08908081,0,0,0.0,0.0,20300100104
Townsville-Whitsunday,Cole Reefs (No2) (20-301a),0.0,0.0,707.65350342,0,0,0.0,0.0,20301101104
Townsville-Whitsunday,Cole Reefs (No3) (20-301b),0.0,0.0,866.40209961,0,0,0.0,0.0,20301102104
Mackay-Capricorn,Cole Reefs (No1) (20-302),64.62,1.32,455.22610474,6462,132,0.4665,0.0077,20302100104
Townsville-Whitsunday,U/N Reef (20-303),0.0,0.0,2702.80761719,0,0,0.0,0.0,20303100104
Mackay-Capricorn,U/N Reef (20-386),37.09,1.21,603.16693115,3709,121,0.202,0.0053,20386100104
Mackay-Capricorn,U/N Reef (20-387),13.24,0.0,493.76055908,1324,0,0.088,0.0,20387100104
